"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.38","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG451","Executive Officer (EO) - London","28412","34672","Communications Support Officer","0.39","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG427","Administrative Officer (AO) - London","26871","26871","Operational Delivery Support Officer","0.40","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG462","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.40","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.40","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.40","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Grade 7 (G7) - London","54632","63977","Operational Delivery Advisor","0.40","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG345","Grade 7 (G7) - London","54632","63977","Finance Advisor","0.40","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.40","Operational Delivery","North East"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Executive Officer (EO)","25324","30045","Policy Support Officer","0.41","Policy","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG427","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.41","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.41","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.43","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Executive Officer (EO)","25324","30045","Operational Delivery Support Officer","0.43","Operational Delivery","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG404","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.49","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG487","Higher Executive Officer (HEO)","30792","39156","Policy Manager","0.50","Policy","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Grade 7 (G7) - London","54632","63977","Knowledge & Information Management (KIM) Advisor","0.50","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO) - London","33875","39400","Digital Data and Technology Manager","0.50","Digital Data and Technology","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG575","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.50","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG484","Senior Executive Officer (SEO) - London","40390","51246","Operational Delivery Manager","0.50","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG240","Executive Officer (EO)","25324","30045","Human Resources Support Officer","0.51","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG240","Administrative Officer (AO)","24324","24324","Human Resources Support Officer","0.54","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG385","Executive Officer (EO)","25324","30045","Policy Support Officer","0.54","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.55","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG404","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.57","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG386","Grade 7 (G7)","49697","58862","Policy Advisor","0.57","Policy","South West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG336","Administrative Officer (AO)","24324","24324","Operational Delivery Support Officer","0.58","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG566","Grade 6 (G6) - London","64965","76266","Planning Advisor","0.58","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG414","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.58","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG526","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.58","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG573","Grade 7 (G7)","49697","58862","Policy Advisor","0.58","Policy","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Executive Officer (EO)","25324","30045","Policy Support Officer","0.59","Policy","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG567","Senior Executive Officer (SEO)","37064","47317","Planning Manager","0.59","Planning","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.59","Operational Delivery","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG459","Grade 6 (G6)","58946","69960","Project Delivery Advisor","0.60","Project Delivery","Devolved Nations"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG575","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG393","Grade 6 (G6) - London","64965","76266","Finance Advisor","0.60","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG313","Grade 6 (G6) - London","64965","76266","Finance Advisor","0.60","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG414","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG329","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG556","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","0.60","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG450","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG367","Grade 7 (G7) - London","54632","63977","Planning Advisor","0.60","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG427","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG523","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG525","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG508","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG245","Higher Executive Officer (HEO) - London","33875","39400","Planning Manager","0.60","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG536","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","0.60","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG418","Senior Executive Officer (SEO) - London","40390","51246","Project Delivery Manager","0.60","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG508","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.60","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG386","Grade 7 (G7)","49697","58862","Policy Advisor","0.60","Policy","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7)","49697","58862","Finance Advisor","0.60","Finance","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO)","30792","39156","Policy Manager","0.60","Policy","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG488","Grade 7 (G7)","49697","58862","Policy Advisor","0.60","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.60","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.60","Operational Delivery","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.60","Operational Delivery","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Executive Officer (EO) - London","28412","34672","Policy Support Officer","0.61","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG435","Executive Officer (EO) - London","28412","34672","Policy Support Officer","0.61","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Executive Officer (EO) - London","28412","34672","Policy Support Officer","0.61","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG566","Grade 6 (G6) - London","64965","76266","Planning Advisor","0.61","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG423","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.61","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.61","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG385","Grade 7 (G7)","49697","58862","Policy Advisor","0.61","Policy","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG543","Grade 7 (G7)","49697","58862","Policy Advisor","0.61","Policy","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Administrative Officer (AO)","24324","24324","Knowledge & Information Management (KIM) Support Officer","0.61","Knowledge & Information Management (KIM)","South East"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Higher Executive Officer (HEO)","30792","39156","Digital Data and Technology Manager","0.61","Digital Data and Technology","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.61","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG345","Higher Executive Officer (HEO)","30792","39156","Finance Manager","0.63","Finance","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG385","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.64","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG240","Administrative Officer (AO)","24324","24324","Human Resources Support Officer","0.64","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Grade 7 (G7)","49697","58862","Project Delivery Advisor","0.65","Project Delivery","Devolved Nations"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG521","Grade 7 (G7) - London","54632","63977","Communications Advisor","0.65","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG386","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.65","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG419","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.65","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG356","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.65","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG526","Executive Officer (EO)","25324","30045","Policy Support Officer","0.65","Policy","North East"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG486","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.65","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG484","Grade 7 (G7)","49697","58862","Operational Delivery Advisor","0.65","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.65","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.65","Operational Delivery","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG516","Grade 6 (G6) - London","64965","76266","Social Research Advisor","0.66","Social Research","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG345","Higher Executive Officer (HEO)","30792","39156","Finance Manager","0.67","Finance","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.67","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG267","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.67","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG267","Grade 7 (G7) - London","54632","63977","Statistics Advisor","0.67","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG417","Grade 7 (G7) - London","54632","63977","Planning Advisor","0.67","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG246","Senior Executive Officer (SEO) - London","40390","51246","Policy Manager","0.67","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG361","Grade 6 (G6) - London","64965","76266","Planning Advisor","0.68","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG252","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.68","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG375","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.68","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Executive Officer (EO)","25324","30045","Knowledge & Information Management (KIM) Support Officer","0.68","Knowledge & Information Management (KIM)","South East"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.68","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG556","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.69","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Grade 7 (G7) - London","54632","63977","Project Delivery Advisor","0.69","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.69","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG536","Grade 7 (G7)","49697","58862","Policy Advisor","0.69","Policy","South West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG479","Senior Executive Officer (SEO)","37064","47317","Policy Manager","0.69","Policy","South West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Grade 7 (G7) - London","54632","63977","Finance Advisor","0.70","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG427","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.70","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG367","Senior Executive Officer (SEO) - London","40390","51246","Planning Manager","0.70","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Executive Officer (EO)","25324","30045","Operational Delivery Support Officer","0.70","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Rapid Response","CLG146","Grade 7 (G7)","49697","58862","Policy Advisor","0.70","Policy","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG567","Executive Officer (EO)","25324","30045","Planning Support Officer","0.70","Planning","South West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Grade 7 (G7)","49697","58862","Operational Delivery Advisor","0.70","Operational Delivery","South West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.70","Operational Delivery","South West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG414","Executive Officer (EO)","25324","30045","Policy Support Officer","0.70","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG557","Higher Executive Officer (HEO)","30792","39156","Policy Manager","0.71","Policy","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.73","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.73","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG571","Grade 6 (G6) - London","64965","76266","Project Delivery Advisor","0.73","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG516","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.73","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO) - London","33875","39400","Operational Delivery Manager","0.73","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG231","Higher Executive Officer (HEO)","30792","39156","Policy Manager","0.73","Policy","South West"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG386","Grade 7 (G7)","49697","58862","Policy Advisor","0.73","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.73","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.75","Operational Delivery","East Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG339","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.75","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG307","Grade 7 (G7) - London","54632","63977","Project Delivery Advisor","0.75","Project Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG562","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.75","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG423","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.75","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG159","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.75","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG414","Higher Executive Officer (HEO) - London","33875","39400","Policy Manager","0.75","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.76","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG484","Grade 7 (G7)","49697","58862","Operational Delivery Advisor","0.76","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG254","Higher Executive Officer (HEO)","30792","39156","Policy Manager","0.76","Policy","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG566","Executive Officer (EO)","25324","30045","Planning Support Officer","0.77","Planning","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG271","Grade 6 (G6) - London","64965","76266","Operational Delivery Advisor","0.78","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.78","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG404","Grade 7 (G7)","49697","58862","Policy Advisor","0.78","Policy","Other"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG516","Executive Officer (EO)","25324","30045","Statistics Support Officer","0.78","Statistics","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Grade 7 (G7)","49697","58862","Digital Data and Technology Advisor","0.78","Digital Data and Technology","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG240","Higher Executive Officer (HEO)","30792","39156","Human Resources Manager","0.78","Human Resources","Yorkshire and the Humber"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Higher Executive Officer (HEO)","30792","39156","Operational Delivery Manager","0.79","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG466","Grade 7 (G7)","49697","58862","Planning Advisor","0.79","Planning","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG321","Grade 7 (G7)","49697","58862","Operational Delivery Advisor","0.79","Operational Delivery","West Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG459","Grade 6 (G6)","58946","69960","Operational Delivery Advisor","0.80","Operational Delivery","Devolved Nations"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG487","Senior Executive Officer (SEO)","37064","47317","Policy Manager","0.80","Policy","Devolved Nations"
"Department for Levelling Up, Housing and Communities","DLUHC","Homes for Ukraine","CLG526","Senior Executive Officer (SEO)","37064","47317","Policy Manager","0.80","Policy","Devolved Nations"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG516","Senior Executive Officer (SEO)","37064","47317","Statistics Manager","0.80","Statistics","Devolved Nations"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.80","Operational Delivery","East Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG485","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.80","Operational Delivery","East Midlands"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG486","Grade 7 (G7)","49697","58862","Operational Delivery Advisor","0.80","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG448","Grade 7 (G7)","49697","58862","Project Delivery Advisor","0.80","Project Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG271","Senior Executive Officer (SEO)","37064","47317","Operational Delivery Manager","0.80","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Executive Officer (EO) - London","28412","34672","Knowledge & Information Management (KIM) Support Officer","0.80","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG562","Grade 6 (G6) - London","64965","76266","Commercial Advisor","0.80","Commercial","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG539","Grade 6 (G6) - London","64965","76266","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG521","Grade 7 (G7) - London","54632","63977","Communications Advisor","0.80","Communications","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG343","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG154","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG466","Grade 7 (G7) - London","54632","63977","Planning Advisor","0.80","Planning","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG419","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG288","Grade 7 (G7) - London","54632","63977","Knowledge & Information Management (KIM) Advisor","0.80","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG517","Grade 7 (G7) - London","54632","63977","Finance Advisor","0.80","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG146","Grade 7 (G7) - London","54632","63977","Finance Advisor","0.80","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG217","Grade 7 (G7) - London","54632","63977","Statistics Advisor","0.80","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG159","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.80","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG499","Grade 7 (G7) - London","54632","63977","Finance Advisor","0.80","Finance","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Grade 7 (G7) - London","54632","63977","Statistics Advisor","0.80","Statistics","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG344","Grade 7 (G7) - London","54632","63977","Policy Advisor","0.80","Policy","London"
