"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Administrative Officer (AO)","24324","24324","AO - Election Claims Unit","1.00","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Administrative Officer (AO)","24324","24324","AO - Election Claims Unit","1.00","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Administrative Officer (AO)","24324","24324","AO - Election Claims Unit","1.00","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Administrative Officer (AO)","24324","24324","AO - Election Claims Unit","1.00","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Administrative Officer (AO)","24324","24324","AO - Election Claims Unit","1.00","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Administrative Officer (AO)","24324","24324","AO - Election Claims Unit","1.00","Operational Delivery","East of England"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG267","Administrative Officer (AO) - London","26871","26871","AO - Data Analytics and Statistics","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG217","Administrative Officer (AO) - London","26871","26871","AO - Housing and Planning Analysis","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG330","Administrative Officer (AO) - London","26871","26871","AO - Insights Analysis","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Administrative Officer (AO) - London","26871","26871","AO - Records Management","1.00","Knowledge & Information Management (KIM)","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG353","Administrative Officer (AO) - London","26871","26871","AO - Business Support Team","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG603","Administrative Officer (AO) - London","26871","26871","AO - CAM, P2P, Service Desk, F&E, T&S","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG603","Administrative Officer (AO) - London","26871","26871","AO - CAM, P2P, Service Desk, F&E, T&S","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG603","Administrative Officer (AO) - London","26871","26871","AO - CP2P-SAP Helpdesk-F&E","0.58","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG603","Administrative Officer (AO) - London","26871","26871","AO - CP2P-SAP Helpdesk-F&E","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO) - London","26871","26871","AO - HR Service Centre","1.00","Human Resources","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG604","Administrative Officer (AO) - London","26871","26871","AO - Private Secretary and Business Manager","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG463","Administrative Officer (AO) - London","26871","26871","AO - Central Strategy","0.83","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG501","Administrative Officer (AO) - London","26871","26871","AO - Parliamentary & Correspondence","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG501","Administrative Officer (AO) - London","26871","26871","AO - Parliamentary & Correspondence","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Levelling Up","CLG501","Administrative Officer (AO) - London","26871","26871","AO - Strategy & Private Office","0.83","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG324","Administrative Officer (AO) - London","26871","26871","Other - Homelessness and Rough Sleeping","1.00","Policy","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG419","Administrative Officer (AO) - London","26871","26871","AO - Faith, Integration and Communities","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG419","Administrative Officer (AO) - London","26871","26871","AO - Faith, Integration and communities","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Local Govnmnt Resilience and Communities","CLG263","Administrative Officer (AO) - London","26871","26871","AO - Contain","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG440","Administrative Officer (AO) - London","26871","26871","AO - Housing Performance","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG591","Administrative Officer (AO) - London","26871","26871","AO - PCU - Corporate and Casework Team","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG367","Administrative Officer (AO) - London","26871","26871","AO - Planning - Infrastructure","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG500","Administrative Officer (AO) - London","26871","26871","AO - Portfolio & Business Management","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Safer and Greener Buildings","CLG318","Administrative Officer (AO) - London","26871","26871","AO - Implementation and Sponsorship","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG375","Administrative Officer (AO) - London","26871","26871","AO - Planning – Infrastructure","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","Union, Elections and Places","CLG507","Administrative Officer (AO) - London","26871","26871","AO - Election Claims Unit","1.00","Operational Delivery","London"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO)","24324","24324","AO - HR Service Centre","1.00","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO)","24324","24324","AO - HR Service Centre","1.00","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO)","24324","24324","AO - HR Service Centre","1.00","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO)","24324","24324","AO - HR Service Centre","0.64","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO)","24324","24324","AO - HR Service Centre","1.00","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO)","24324","24324","AO - HR Service Centre","1.00","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG605","Administrative Officer (AO)","24324","24324","AO - Recruitment & Resourcing","1.00","Human Resources","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","Regeneration","CLG387","Administrative Officer (AO)","24324","24324","AO - Leasehold Reform","1.00","Operational Delivery","North West"
"Department for Levelling Up, Housing and Communities","DLUHC","CFO and Corporate","CLG291","Administrative Officer (AO)","24324","24324","AO - Records Management","1.00","Knowledge & Information Management (KIM)","South East"
